,folder,unique_id,time_since_begin_h
133,20220509_1609_Plate16,320220426.0,309.1666666666667
271,20220510_1640_Plate13,1220220502.0,185.18333333333334
399,20220423_1940_Plate10,1620220419.0,95.18333333333334
548,20230305_1310_Plate06,2820230227.0,140.1
677,20220714_1619_Plate07,5220220707.0,169.35
824,20220622_2245_Plate01,8420220621.0,31.4
1046,20220714_1248_Plate09,9120220708.0,142.91666666666666
1178,20230321_0904_Plate07,20220230314.0,159.05
1347,20230311_1240_Plate11,21920230307.0,93.3
1448,20230404_1004_Plate12,22920230330.0,114.18333333333334
1632,20230407_0405_Plate14,24120230403.0,80.81666666666666
1829,20230329_1420_Plate29,24820230320.0,211.21666666666667
1952,20230327_1009_Plate04,24920230324.0,61.95
2119,20230322_1824_Plate12,25220230316.0,143.6
2768,20231007_2034_Plate15,35820231003.0,77.83333333333333
3046,20230930_0218_Plate07,36620230921.0,203.95
4184,20221022_1717_Plate10,46220221013.0,218.58333333333334
4752,20221010_0221_Plate09,47220221003.0,153.66666666666666
5086,20221219_1302_Plate15,48020221205.0,329.8333333333333
5700,20221202_0642_Plate12,50620221124.0,183.38333333333333
5801,20221204_2054_Plate09,51020221201.0,55.86666666666667
5960,20221213_1509_Plate19,51320221205.0,189.85
6135,20221212_1233_Plate03,51420221206.0,139.9
6265,20230108_0749_Plate02,52120230104.0,90.96666666666667
6484,20230111_2210_Plate09,52720230106.0,130.01666666666668
6698,20230123_0806_Plate06,53020230115.0,159.53333333333333
6756,20221227_1042_Plate06,53120221222.0,112.0
6983,20230111_1155_Plate04,53220220104.0,166.98333333333332
7149,20230115_2013_Plate11,53720230111.0,97.66666666666667
7331,20230118_0204_Plate07,55220230111.0,151.71666666666667
7642,20230114_2034_Plate18,55920230109.0,125.76666666666667
9414,20220329_1215_Plate15,93820220325.0,86.55
9519,20220530_1027_Plate01,101420220525.0,110.91666666666667
9595,20220505_1732_Plate15,102320220502.0,73.46666666666667
9758,20220525_1947_Plate06,104220220523.0,30.55
9981,20220507_2147_Plate02,104520220504.0,74.78333333333333
10220,20220513_1352_Plate03,104820220506.0,158.03333333333333
10363,20220513_0826_Plate14,107620220511.0,40.75
