770,1611;2565, 155;3137,893;2872,893;1290, 1125;1754,1199;3192,1199;361,1652;1373,1437;source_nodes
;anastomosed;anastomosed;anastomosed;anastomosed;;anastomosed;anastomosed;;
47;31;46;43;35;1;2;9;17;2375
48;29;45;44;36;;3;10;;2389
55;30;;;37;;;;;2374
56;27;;;38;;;;;638
49;28;;;39;;;;;2442
50;24;;;40;;;;;2456
51;25;;;32;;;;;2457
52;26;;;33;;;;;2459
53;21;;;41;;;;;
54;22;;;42;;;;;
;23;;;34;;;;;
;4;;;;;;;;
;5;;;;;;;;
;18;;;;;;;;
;19;;;;;;;;
;14;;;;;;;;
;15;;;;;;;;
;16;;;;;;;;
;11;;;;;;;;
;12;;;;;;;;
;13;;;;;;;;
;6;;;;;;;;
;7;;;;;;;;
;8;;;;;;;;
