,x,y,radius,t,folder,datetime
0_0,869.989380937851,25756.81623754624,19.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_1,2329.606120395898,29923.76682774489,17.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_2,2140.268202572069,29269.288367818335,19.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_3,2725.3882656771984,34013.15002194474,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_6,1560.4495262982111,32339.28030759733,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_7,4678.762718542234,29029.684224413817,14.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_8,4589.033234911186,39018.91090158252,37.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_9,7814.3522182251945,11694.066791208326,32.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_10,7876.8776630788125,22141.06785795648,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_11,7813.356663934248,21304.71668155888,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_12,7815.85232238862,21246.54473464882,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_13,7177.895861697996,22558.429459386047,18.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_14,7096.078876432334,22597.846756536008,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_15,9796.929935097593,13462.984712560954,33.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_16,9606.549537236418,13316.87300584639,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_17,9365.984946908708,13585.162600832316,36.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_18,9011.236489554567,12744.139415176727,32.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_19,8954.64448730495,12688.594114184281,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_20,8337.932215311568,11741.023467572262,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_21,10393.652795885866,14729.090014658399,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_22,10040.473691888761,15532.626623059188,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_23,9455.268509139361,15923.267829397217,32.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_24,8922.50228246132,15116.313852522373,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_25,8917.811253027417,16799.56845595946,33.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_27,10116.674038450305,19534.926440036746,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_28,9369.59078099095,20332.763864970708,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_29,9197.550695016194,20807.112929597217,32.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
