2044,1500
174.0,308.0,42.42640687119285
1180.0,1525.0,42.42640687119285
653.0,1423.0,42.42640687119285
488.0,1471.0,21.920310216782976
0.0,98.0,42.42640687119285
389.0,621.0,21.920310216782976
122.0,1487.0,21.920310216782976
501.0,1424.0,21.920310216782976
200.0,1468.0,21.920310216782976
459.0,714.0,21.920310216782976
1322.0,1603.0,42.42640687119285
893.0,1252.0,42.42640687119285
54.0,1507.0,21.920310216782976
329.0,1446.0,21.920310216782976
645.0,900.0,21.920310216782976
355.0,535.0,21.920310216782976
0.0,1523.0,21.920310216782976
753.0,1376.0,21.920310216782976
256.0,1486.0,21.920310216782976
853.0,1420.0,21.920310216782976
548.0,1404.0,21.920310216782976
165.0,297.0,42.42640687119285
1045.0,1446.0,42.42640687119285
0.0,89.0,42.42640687119285
526.0,1448.0,21.920310216782976
553.0,1440.0,21.920310216782976
347.0,1479.0,21.920310216782976
1416.0,1694.0,21.920310216782976
377.0,605.0,21.920310216782976
57.0,1508.0,21.920310216782976
244.0,1462.0,42.42640687119285
417.0,1427.0,21.920310216782976
243.0,343.0,21.920310216782976
827.0,1365.0,21.920310216782976
1281.0,1574.0,42.42640687119285
341.0,1437.0,21.920310216782976
701.0,1440.0,21.920310216782976
141.0,1487.0,21.920310216782976
344.0,520.0,21.920310216782976
0.0,1516.0,21.920310216782976
790.0,1110.0,21.920310216782976
944.0,1305.0,21.920310216782976
103.0,210.0,42.42640687119285
908.0,1366.0,42.42640687119285
77.0,172.0,21.920310216782976
341.0,1462.0,42.42640687119285
1229.0,1578.0,21.920310216782976
1458.0,1723.0,21.920310216782976
438.0,1452.0,21.920310216782976
307.0,512.0,21.920310216782976
412.0,1460.0,21.920310216782976
174.0,1480.0,42.42640687119285
38.0,1487.0,21.920310216782976
1372.0,1622.0,21.920310216782976
722.0,1407.0,21.920310216782976
126.0,1494.0,21.920310216782976
251.0,1461.0,21.920310216782976
758.0,1375.0,21.920310216782976
583.0,1455.0,21.920310216782976
1027.0,1392.0,21.920310216782976
276.0,426.0,42.42640687119285
74.0,173.0,42.42640687119285
827.0,1379.0,21.920310216782976
668.0,1412.0,21.920310216782976
993.0,1433.0,21.920310216782976
725.0,1401.0,21.920310216782976
39.0,123.0,21.920310216782976
1499.0,1718.0,42.42640687119285
74.0,1501.0,21.920310216782976
764.0,1394.0,21.920310216782976
0.0,1511.0,42.42640687119285
1243.0,1578.0,42.42640687119285
274.0,465.0,21.920310216782976
1351.0,1655.0,21.920310216782976
303.0,1462.0,21.920310216782976
242.0,1467.0,21.920310216782976
472.0,1422.0,21.920310216782976
573.0,1408.0,21.920310216782976
1144.0,1548.0,21.920310216782976
1436.0,1657.0,21.920310216782976
32.0,55.0,21.920310216782976
514.0,744.0,21.920310216782976
155.0,1481.0,21.920310216782976
103.0,210.0,42.42640687119285
243.0,1478.0,21.920310216782976
1435.0,1686.0,21.920310216782976
479.0,1436.0,21.920310216782976
615.0,1420.0,42.42640687119285
1377.0,1655.0,21.920310216782976
73.0,171.0,21.920310216782976
554.0,1430.0,42.42640687119285
856.0,1417.0,21.920310216782976
1172.0,1525.0,42.42640687119285
298.0,501.0,21.920310216782976
1263.0,1597.0,21.920310216782976
23.0,1509.0,21.920310216782976
978.0,1442.0,21.920310216782976
157.0,1481.0,21.920310216782976
264.0,419.0,21.920310216782976
719.0,1384.0,21.920310216782976
55.0,88.0,21.920310216782976
610.0,955.0,1.4142135623730951
728.0,1406.0,1.4142135623730951
117.0,226.0,42.42640687119285
896.0,1308.0,21.920310216782976
815.0,1390.0,21.920310216782976
1368.0,1661.0,21.920310216782976
1430.0,1676.0,21.920310216782976
211.0,1474.0,42.42640687119285
864.0,1377.0,21.920310216782976
1074.0,1489.0,21.920310216782976
1499.0,1745.0,21.920310216782976
318.0,527.0,21.920310216782976
408.0,1451.0,42.42640687119285
265.0,1470.0,21.920310216782976
54.0,1506.0,21.920310216782976
321.0,1451.0,21.920310216782976
119.0,1489.0,21.920310216782976
655.0,1409.0,42.42640687119285
288.0,447.0,21.920310216782976
1156.0,1544.0,21.920310216782976
0.0,92.0,21.920310216782976
996.0,1439.0,42.42640687119285
610.0,955.0,1.4142135623730951
1429.0,1680.0,42.42640687119285
919.0,1375.0,21.920310216782976
715.0,1059.0,21.920310216782976
1173.0,1526.0,21.920310216782976
1108.0,1488.0,21.920310216782976
178.0,1476.0,42.42640687119285
398.0,1449.0,21.920310216782976
459.0,1436.0,21.920310216782976
615.0,1456.0,21.920310216782976
981.0,1412.0,21.920310216782976
128.0,261.0,21.920310216782976
714.0,1387.0,21.920310216782976
828.0,1376.0,21.920310216782976
193.0,270.0,21.920310216782976
519.0,1424.0,21.920310216782976
595.0,1417.0,21.920310216782976
45.0,1504.0,21.920310216782976
85.0,184.0,21.920310216782976
774.0,1161.0,21.920310216782976
856.0,1288.0,21.920310216782976
